v1,v2,v3,v4,v5,v6,v7
0.115,0.090,0.130,0.475,0.135,0.115,0.095
0.000,0.000,0.740,0.000,0.000,0.000,0.000
0.025,0.000,0.030,0.380,0.010,0.000,0.000
0.000,0.000,0.720,0.005,0.000,0.000,0.000
0.000,0.080,0.030,0.490,0.010,0.025,0.000
0.000,0.000,0.680,0.000,0.000,0.000,0.000
0.105,0.115,0.095,0.455,0.120,0.105,0.100
0.000,0.000,0.860,0.005,0.000,0.000,0.005
0.060,0.000,0.855,0.010,0.000,0.000,0.030
0.060,0.085,0.865,0.075,0.135,0.095,0.100
0.000,0.000,0.985,0.000,0.005,0.005,0.000
0.015,0.000,0.030,0.340,0.005,0.000,0.000
0.000,0.000,0.815,0.000,0.000,0.000,0.000
0.010,0.010,0.040,0.255,0.000,0.000,0.000
0.035,0.005,0.040,0.435,0.005,0.020,0.000
0.000,0.000,0.960,0.000,0.000,0.005,0.005
0.000,0.000,0.855,0.005,0.000,0.000,0.000
0.000,0.065,0.015,0.475,0.005,0.030,0.000
0.000,0.000,0.740,0.000,0.000,0.000,0.000
0.035,0.000,0.865,0.000,0.000,0.000,0.015
0.000,0.000,0.840,0.000,0.000,0.000,0.000
0.000,0.000,0.685,0.000,0.000,0.000,0.000
0.030,0.035,0.030,0.440,0.015,0.005,0.010
0.000,0.000,0.900,0.005,0.000,0.000,0.000
0.025,0.035,0.030,0.460,0.005,0.005,0.010
0.005,0.020,0.050,0.445,0.000,0.025,0.000
0.035,0.155,0.120,0.605,0.030,0.075,0.015
0.030,0.040,0.030,0.485,0.010,0.010,0.010
0.005,0.080,0.030,0.490,0.010,0.035,0.000
0.000,0.000,0.795,0.000,0.000,0.000,0.000
0.005,0.010,0.020,0.570,0.005,0.005,0.000
0.000,0.000,0.875,0.000,0.000,0.000,0.000
0.000,0.000,0.765,0.000,0.000,0.000,0.000
0.000,0.065,0.015,0.470,0.005,0.030,0.000
0.005,0.010,0.040,0.605,0.000,0.015,0.000
0.005,0.000,0.850,0.005,0.000,0.000,0.000
0.025,0.035,0.030,0.480,0.005,0.005,0.010
0.000,0.000,0.820,0.000,0.000,0.000,0.000
0.000,0.000,0.780,0.000,0.000,0.000,0.000
